39264: done 2548 episodes, mean reward 0.004, speed 65.13 f/s
39339: done 2551 episodes, mean reward 0.005, speed 63.35 f/s
39425: done 2556 episodes, mean reward 0.005, speed 64.89 f/s
39519: done 2559 episodes, mean reward 0.006, speed 63.15 f/s
39606: done 2564 episodes, mean reward 0.007, speed 62.53 f/s
39694: done 2568 episodes, mean reward 0.008, speed 63.21 f/s
39765: done 2572 episodes, mean reward 0.008, speed 63.06 f/s
39839: done 2576 episodes, mean reward 0.008, speed 65.24 f/s
39915: done 2579 episodes, mean reward 0.009, speed 66.30 f/s
39987: done 2583 episodes, mean reward 0.010, speed 62.41 f/s
Test done in 1.61 sec, reward 0.008, steps 17
Best reward updated: -0.005 -> 0.008
40017: done 2584 episodes, mean reward 0.010, speed 14.23 f/s
40091: done 2588 episodes, mean reward 0.009, speed 62.29 f/s
40161: done 2593 episodes, mean reward 0.009, speed 65.28 f/s
40235: done 2598 episodes, mean reward 0.009, speed 64.56 f/s
40305: done 2602 episodes, mean reward 0.009, speed 64.41 f/s
40395: done 2606 episodes, mean reward 0.009, speed 63.62 f/s
40466: done 2611 episodes, mean reward 0.009, speed 65.45 f/s
40539: done 2615 episodes, mean reward 0.009, speed 64.30 f/s
40616: done 2619 episodes, mean reward 0.010, speed 64.23 f/s
40686: done 2624 episodes, mean reward 0.008, speed 61.39 f/s
40756: done 2629 episodes, mean reward 0.007, speed 66.10 f/s
